get_lKn,get_RHSt,get_Kt,get_Zt,get_Ct,get_marg_ut,get_Ht,get_Yt,get_Rt
2.9274342,0.39640608,18.754623,0.9794976,1.586558,0.39727214,0.5775955,1.9804399,0.038015075
2.9242291,0.39637494,18.67964,0.9844695,1.5869468,0.39707747,0.5805674,1.9941628,0.038432144
2.9194932,0.3963597,18.619867,0.97812945,1.5866194,0.39724138,0.57375336,1.9641384,0.03797502
2.9124763,0.39634115,18.531889,0.9686431,1.5861237,0.3974897,0.5636605,1.919845,0.03729486
2.9053223,0.39629188,18.402311,0.9701008,1.5863574,0.39737263,0.56244504,1.9152358,0.037467297
2.899926,0.39623204,18.271132,0.9806029,1.5871565,0.39697254,0.56910896,1.9456012,0.038334597
2.8959165,0.39619172,18.1728,0.9887389,1.5877684,0.39666665,0.5743097,1.9693688,0.039012853
2.8905153,0.39616793,18.100082,0.98339987,1.5875207,0.39679044,0.5681798,1.9425225,0.038635634
2.8869035,0.39612958,18.002584,0.9933908,1.5882449,0.39642867,0.5749747,1.9734036,0.039462406
2.8807662,0.39610913,17.93768,0.98266566,1.5876583,0.3967217,0.56431365,1.9263482,0.03866082
2.8734825,0.39607108,17.827927,0.97915936,1.5875657,0.39676797,0.559095,1.9038842,0.03844521
2.8678627,0.3960189,17.698545,0.9891707,1.588332,0.39638516,0.56516325,1.9316127,0.03929027
2.8634243,0.3959831,17.599363,0.99635434,1.5888865,0.39610857,0.56936204,1.9509289,0.03990681
2.859966,0.39595753,17.521423,1.0022099,1.5893333,0.3958859,0.5728257,1.966881,0.040412083
2.8577404,0.39594132,17.460934,1.0088906,1.5898082,0.3956494,0.5773521,1.9875153,0.040977508
2.8563724,0.39593285,17.422115,1.0134592,1.5901287,0.39548996,0.5804971,2.0018642,0.041365307
2.8584886,0.39595383,17.398298,1.0295933,1.5911189,0.39499784,0.5940295,2.062934,0.04268557
2.85945,0.3959547,17.435154,1.0237842,1.590731,0.3951905,0.5897516,2.0433838,0.04219167
2.8602388,0.3959588,17.451927,1.022723,1.5906482,0.39523166,0.5891846,2.040716,0.042096082
2.8617268,0.39596945,17.465696,1.025646,1.590806,0.39515325,0.59203064,2.0534527,0.042325426
2.8662138,0.39600992,17.491705,1.0386693,1.591545,0.3947864,0.6040149,2.1074991,0.04337483
