lCt
0.46276218
0.4632064
0.4633922
0.46298033
0.462485
0.46312588
0.46268815
0.46272317
0.46287915
0.46280852
0.46312404
0.46340626
0.463695
0.46369642
0.46351436
0.46305242
0.46362016
0.4631204
0.4627649
0.46260068
0.4625414
0.46278855
0.46295857
0.4631252
0.46276838
0.46260843
0.46289375
0.46397263
0.4642619
0.46457103
0.4639595
0.46380463
0.4632045
0.46346048
0.46396273
0.46389467
0.46338305
0.46369433
0.46423528
0.4647868
0.4640952
0.46344438
0.463766
0.4636261
0.46379146
0.46402296
0.46403626
0.46394357
0.46405682
0.46405366
0.46405262
0.464149
0.46450868
0.4643112
0.46400613
0.46298388
0.46244335
0.46190098
0.46203005
0.46103668
0.46156687
0.46181196
0.46160555
0.4612931
0.4614404
0.4619441
0.46232948
0.46217343
0.46262956
0.46226013
0.46220177
0.46268445
0.46303344
0.46331465
0.46361336
0.4638149
0.4644375
0.46419367
0.46414158
0.46424082
0.46470523
0.46491858
0.4646965
0.4642961
0.4642836
0.46441016
0.46334922
0.46410525
0.46383888
0.4632514
0.46241418
0.4628206
0.46240872
0.46225855
0.46235836
0.46215174
0.4619466
0.46179396
0.4623488
0.4626888
